"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 07 11:12:53 GMT 2022","Fri Oct 07 11:12:56 GMT 2022","3887","","Telnyx tests","","","","Testing the ""JOIN THE WAITLIST"" button",""
"passed","Fri Oct 07 11:13:11 GMT 2022","Fri Oct 07 11:13:14 GMT 2022","2259","","Telnyx tests","","","","Testing the ""Wireless"" button in Powerful products box",""
"passed","Fri Oct 07 11:13:36 GMT 2022","Fri Oct 07 11:13:38 GMT 2022","2054","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in footer",""
"passed","Fri Oct 07 11:12:36 GMT 2022","Fri Oct 07 11:12:53 GMT 2022","16107","","Telnyx tests","","","","First open",""
"passed","Fri Oct 07 11:13:34 GMT 2022","Fri Oct 07 11:13:36 GMT 2022","2280","","Telnyx tests","","","","Testing the ""Release Notes"" button in footer",""
"passed","Fri Oct 07 11:13:04 GMT 2022","Fri Oct 07 11:13:09 GMT 2022","4278","","Telnyx tests","","","","Testing the ""Messaging API"" button in Powerful products box",""
"passed","Fri Oct 07 11:13:14 GMT 2022","Fri Oct 07 11:13:17 GMT 2022","2861","","Telnyx tests","","","","Testing the ""Voice API"" button in Powerful products box",""
"passed","Fri Oct 07 11:13:32 GMT 2022","Fri Oct 07 11:13:34 GMT 2022","1830","","Telnyx tests","","","","Testing the ""Resource Hub"" button in footer",""
"passed","Fri Oct 07 11:13:22 GMT 2022","Fri Oct 07 11:13:25 GMT 2022","2796","","Telnyx tests","","","","Testing the ""Explore our products"" button",""
"passed","Fri Oct 07 11:13:19 GMT 2022","Fri Oct 07 11:13:22 GMT 2022","2461","","Telnyx tests","","","","Testing the ""Storage"" button in Powerful products box",""
"passed","Fri Oct 07 11:13:09 GMT 2022","Fri Oct 07 11:13:11 GMT 2022","1938","","Telnyx tests","","","","Testing the ""Video API"" button in Powerful products box",""
"passed","Fri Oct 07 11:13:39 GMT 2022","Fri Oct 07 11:13:41 GMT 2022","2015","","Telnyx tests","","","","Testing the ""Call Control - Voice API"" button in footer",""
"passed","Fri Oct 07 11:12:57 GMT 2022","Fri Oct 07 11:13:04 GMT 2022","7017","","Telnyx tests","","","","Testing the ""Read customer story"" button",""
"passed","Fri Oct 07 11:13:29 GMT 2022","Fri Oct 07 11:13:31 GMT 2022","2343","","Telnyx tests","","","","Testing the ""Blog"" button in footer",""
"passed","Fri Oct 07 11:13:26 GMT 2022","Fri Oct 07 11:13:29 GMT 2022","2872","","Telnyx tests","","","","Testing the ""Data & Privacy"" button in footer",""
"passed","Fri Oct 07 11:13:18 GMT 2022","Fri Oct 07 11:13:19 GMT 2022","1685","","Telnyx tests","","","","Testing the ""Elastic SIP Trunking"" button in Powerful products box",""
